04044,Huyện Thông Nông,04,1,tn
04045,Huyện Hà Quảng,04,1,hq
04046,Huyện Trà Lĩnh,04,1,tl
04047,Huyện Trùng Khánh,04,1,tk
04048,Huyện Hạ Lang,04,1,hl
04049,Huyện Quảng Uyên,04,1,qu
04050,Huyện Phục Hòa,04,1,ph
04051,Huyện Hòa An,04,1,ha
04052,Huyện Nguyên Bình,04,1,nb
04053,Huyện Thạch An,04,1,ta
06_KXD,Không Xác định,06,1,kx
06058,Tx Bắc Kạn,06,1,bk
06060,Pác Nặm,06,1,pn
06061,Ba Bể,06,1,bb
06062,Ngân Sơn,06,1,ns
06063,Bạch Thông,06,1,bt
06064,Chợ đồn,06,1,cd
06065,Chợ Mới,06,1,cm
06066,Na Rì,06,1,nr
08_KXD,Không Xác định,08,1,kx
08070,Tp Tuyên Quang,08,1,tq
08072,Na Hang,08,1,nh
08073,Chiem Hoa,08,1,ch
08074,Hàm Yên,08,1,hy
08075,Yên Sơn,08,1,ys
08076,Sơn Dương,08,1,sd
08077,Lâm Bình,08,1,lb
10_KXD,Không Xác định,10,1,kx
10080,Thành Phố Lào Cai,10,1,lc
10082,Huyện Bát Xát,10,1,bx
10083,Huyện Mường Khương,10,1,mk
10084,Huyện Si Ma Cai,10,1,sm
10085,Huyện Bắc Hà,10,1,bh
10086,Huyện Bảo Thắng,10,1,bt
10087,Huyện Bảo Yên,10,1,by
10088,Huyện Sa Pa,10,1,sp
10089,Huyện Văn Bàn,10,1,vb
11_KXD,Không Xác định,11,1,kx
11094,Thành Phố địên Biên Phủ,11,1,db
11095,Thị Xã Mường Lay,11,1,tm
11096,Huyện Mường Nhé,11,1,mn
11097,Huyện Mường Chà,11,1,mc
11098,Huyện Tủa Chùa,11,1,tc
11099,Huyện Tuần Giáo,11,1,tg
11100,Huyện điện Biên,11,1,db
11101,Huyện điện Biên đông,11,1,db
11102,Huyện Mường ảng,11,1,ma
12_KXD,Không Xác định,12,1,kx
12105,Tx Lai Châu,12,1,lc
12106,Tam đường,12,1,td
12107,Mường Tè,12,1,mt
12108,Sìn Hồ,12,1,sh
12109,Phong Thổ,12,1,pt
12110,Than Uyên,12,1,tu
12111,Tân Uyên,12,1,tu
12112,Nậm Nhùn,12,1,nn
14_KXD,Không Xác định,14,1,kx
14116,Tp Sơn La,14,1,sl
14118,Huyện Quỳnh Nhai,14,1,qn
14119,Huyện Thuận Châu,14,1,tc
14120,Huyện Mường La,14,1,ml
14121,Huyện Bắc Yên,14,1,by
14122,Huyện Phù Yên,14,1,py
14123,Huyện Mộc Châu,14,1,mc
14124,Huyện Yên Châu,14,1,yc
14125,Huyện Mai Sơn,14,1,ms
14126,Huyện Sông Mã,14,1,sm
14127,Huyện Sốp Cộp,14,1,sc
15_KXD,Không Xác định,15,1,kx
15132,Tp Yên Bái,15,1,yb
15133,Tx Nghĩa Lộ,15,1,nl
15135,Lục Yên,15,1,ly
15136,Văn Yên,15,1,vy
15137,Mù Cang Chải,15,1,mc
15138,Trấn Yên,15,1,ty
15139,Huyện Trạm Tấu,15,1,tt
15140,Huyện Văn Chấn,15,1,vc
15141,Yên Bình,15,1,yb
17_KXD,Không Xác định,17,1,kx
17148,Thành Phố Hòa Bình,17,1,hb
17150,Huyện đà Bắc,17,1,db
17151,Huyện Kỳ Sơn,17,1,ks
17152,Huyện Lương Sơn,17,1,ls
17153,Huyện Kim Bôi,17,1,kb
17154,Huyện Cao Phong,17,1,cp
17155,Huyện Tân Lạc,17,1,tl
17156,Huyện Mai Châu,17,1,mc
17157,Huyện Lạc Sơn,17,1,ls
17158,Huyện Yên Thủy,17,1,yt
17159,Huyện Lạc Thủy,17,1,lt
19_KXD,Không Xác định,19,1,kx
19164,Thành Phố Thái Nguyên,19,1,tn
19165,Thị Xã Sông Công,19,1,ts
19167,Huyện định Hoá,19,1,dh
19168,Huyện Phú Lương,19,1,pl
19169,Huyện đồng Hỷ,19,1,dh
19170,Huyện Võ Nhai,19,1,vn
19171,Huyện đại Từ,19,1,dt
19172,Huyện Phổ Yên,19,1,py
19173,Huyện Phú Bình,19,1,pb
19174,Thị Xã Sông Công,19,1,sc
20_KXD,Không Xác định,20,1,kx
20178,Thành Phố Lạng Sơn,20,1,ls
20180,Tràng định,20,1,td
20181,Binh Gia,20,1,bg
20182,Văn Lãng,20,1,vl
20183,Cao Lộc,20,1,cl
20184,Văn Quan,20,1,vq
20185,Bắc Sơn,20,1,bs
20186,Hữu Lũng,20,1,hl
20187,Chi Lăng,20,1,cl
20188,Lộc Bình,20,1,lb
20189,Dình Lập,20,1,dl
22_KXD,Không Xác định,22,1,kx
22193,Thành Phố Hạ Long,22,1,hl
22194,Thị Xã Móng Cái,22,1,tm
22195,Thành Phố Cẩm Phả,22,1,cp
22196,Thị Xã Uông Bí,22,1,tu
22198,Huyện Bình Liêu,22,1,bl
22199,Huyện Tiên Yên,22,1,ty
22200,Huyện đầm Hà,22,1,dh
22201,Huyện Hải Hà,22,1,hh
22202,Huyện Ba Chẽ,22,1,bc
22203,Huyện Vân đồn,22,1,vd
22204,Huyện Hoành Bồ,22,1,hb
22205,Huyện đông Triều,22,1,dt
22206,Huyện Yên Hưng,22,1,yh
22207,Huyện Cô Tô,22,1,ct
222QN,Thị Xã Quảng Yên,22,1,qy
24_KXD,Không Xác định,24,1,kx
24213,Thành Phố Bắc Giang,24,1,bg
24215,Huyện Yên Thế,24,1,yt
24216,Huyện Tân Yên,24,1,ty
24217,Huyện Lạng Giang,24,1,lg
24218,Huyện Lục Nam,24,1,ln
24219,Huyện Lục Ngạn,24,1,ln
24220,Huyện Sơn động,24,1,sd
24221,Huyện Yên Dũng,24,1,yd
24222,Huyện Việt Yên,24,1,vy
24223,Huyện Hiệp Hòa,24,1,hh
25_KXD,Không Xác định,25,1,kx
25227,Thành Phố Việt Trì,25,1,vt
25228,Thị Xã Phú Thọ,25,1,tp
25230,Huyện đoan Hùng,25,1,dh
25231,Huyện Hạ Hoà,25,1,hh
25232,Huyện Thanh Ba,25,1,tb
25233,Huyện Phù Ninh,25,1,pn
25234,Huyện Yên Lập,25,1,yl
25235,Huyện Cẩm Khê,25,1,ck
25236,Huyện Tam Nông,25,1,tn
25237,Huyện Lâm Thao,25,1,lt
25238,Huyện Thanh Sơn,25,1,ts
25239,Huyện Thanh Thuỷ,25,1,tt
25240,Huyện Tân Sơn,25,1,ts
26_KXD,Không Xác định,26,1,kx
26243,Tp Vĩnh Yên,26,1,vy
26244,Phúc Yên,26,1,py
26246,Lập Thạch,26,1,lt
26247,Tam Dương,26,1,td
26248,Tam đảo,26,1,td
26249,Bình Xuyên,26,1,bx
26251,Yên Lạc,26,1,yl
26252,Vĩnh Tường,26,1,vt
26253,Huyện Sông Lô,26,1,sl
27_KXD,Không Xác định,27,1,kx
27256,Thành Phố Bắc Ninh,27,1,bn
27258,Huyện Yên Phong,27,1,yp
27259,Huyện Quế Võ,27,1,qv
27260,Huyện Tiên Du,27,1,td
27261,Thị Xã Từ Sơn,27,1,ts
27262,Huyện Thuận Thành,27,1,tt
27263,Huyện Gia Bình,27,1,gb
27264,Huyện Lương Tài,27,1,lt
280000,Không Xác định,2800,1,kx
30_KXD,Không Xác định,30,1,kx
30288,Thành Phố Hải Dương,30,1,hd
30290,Huyện Chí Linh,30,1,cl
30291,Huyện Nam Sách,30,1,ns
30292,Huyện Kinh Môn,30,1,km
30293,Huyện Kim Thành,30,1,kt
30294,Huyện Thanh Hà,30,1,th
30295,Huyện Cẩm Giàng,30,1,cg
30296,Huyện Bình Giang,30,1,bg
30297,Huyện Gia Lộc,30,1,gl
30298,Huyện Tứ Kỳ,30,1,tk
30299,Huyện Ninh Giang,30,1,ng
30300,Huyện Thanh Miện,30,1,tm
31_KXD,Không Xác định,31,1,kx
31303,Quận Hồng Bàng,31,1,hb
31304,Quận Ngô Quyền,31,1,nq
31305,Quận Lê Chân,31,1,lc
31306,Quận Hải An,31,1,ha
31307,Quận Kiến An,31,1,ka
31308,Quận đồ Sơn,31,1,ds
31311,Huyện Thuỷ Nguyên,31,1,tn
31312,Huyện An Dương,31,1,ad
31313,Huyện An Lão,31,1,al
31314,Huyện Kiến Thụy,31,1,kt
31315,Huyện Tiên Lãng,31,1,tl
